cell_line,psi_true,ci_t_lo,ci_t_hi,psi_rot,ci_r_lo,ci_r_hi,psi_diff,n_genes,p_two_sided,q_fdr
ACH-000406,2.3088782740273284,2.3088782740273284,2.3088782740273284,,,,,150,,1.0
ACH-000407,,,,,,,,150,,1.0
ACH-000408,,,,,,,,150,,1.0
ACH-000410,,,,,,,,150,,1.0
ACH-000411,,,,,,,,150,,1.0
ACH-000415,,,,,,,,150,,1.0
ACH-000416,,,,,,,,150,,1.0
ACH-000417,11.356701269669667,7.397408667400959,15.315993871938375,,,,,150,,1.0
ACH-000420,,,,,,,,150,,1.0
ACH-000421,,,,6.4013423097817865,6.4013423097817865,6.4013423097817865,,150,,1.0
ACH-000422,,,,,,,,150,,1.0
ACH-000424,,,,,,,,150,,1.0
ACH-000426,,,,,,,,150,,1.0
ACH-000427,,,,12.092410979903137,12.092410979903137,12.092410979903137,,150,,1.0
ACH-000431,,,,,,,,150,,1.0
ACH-000433,,,,,,,,150,,1.0
ACH-000435,,,,,,,,150,,1.0
ACH-000437,,,,,,,,150,,1.0
ACH-000438,,,,-11.302013585324216,-11.302013585324216,-11.302013585324216,,150,,1.0
ACH-000441,,,,,,,,150,,1.0
ACH-000444,,,,-2.757489257883758,-2.757489257883758,-2.757489257883758,,150,,1.0
ACH-000445,,,,-17.30835739656432,-17.30835739656432,-17.30835739656432,,150,,1.0
ACH-000448,,,,,,,,150,,1.0
ACH-000450,,,,12.690963370952817,12.690963370952817,12.690963370952817,,150,,1.0
ACH-000452,,,,,,,,150,,1.0
ACH-000454,,,,,,,,150,,1.0
ACH-000455,,,,17.575640442409185,17.575640442409185,17.575640442409185,,150,,1.0
ACH-000456,,,,,,,,150,,1.0
ACH-000460,,,,7.463799125945529,3.5400859562041633,11.387512295686895,,150,,1.0
ACH-000461,,,,,,,,150,,1.0
ACH-000463,,,,,,,,150,,1.0
ACH-000464,,,,10.834058754525769,10.834058754525769,10.834058754525769,,150,,1.0
ACH-000466,,,,,,,,150,,1.0
ACH-000468,,,,,,,,150,,1.0
ACH-000469,,,,,,,,150,,1.0
ACH-000470,,,,,,,,150,,1.0
