cell_line,k_dir_true,n_genes_true,k_dir_rot,n_genes_rot,rate_true_raw,rate_rot_raw,rate_true_eb,rate_rot_eb,post_diff_mean,post_diff_lo,post_diff_hi,post_prob_gt0,split_half_rho,n_reps
ACH-000899,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018961538280389597,-0.00907134699400761,0.0017685590151893962,0.096,,
ACH-000900,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005255113254398972,-0.01650842689614198,0.0001868026012802094,0.03,,
ACH-000901,1,150,5,150,0.006666666666666667,0.03333333333333333,0.0037485418157616047,0.019926149600884166,-0.015858208771705976,-0.03517703100147791,-0.0003451634316079536,0.022,,
ACH-000903,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005303614831317492,-0.017023533531041687,-0.00020686320319361872,0.019,,
ACH-000905,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001892078738455559,-0.01072281085646907,0.0015123911425653203,0.109,,
ACH-000906,1,150,2,150,0.006666666666666667,0.013333333333333334,0.0037485418157616047,0.009230466070727653,-0.005331922004846449,-0.020559427957602485,0.006343158789148105,0.172,,
ACH-000907,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0016140903284796236,-0.009519236064201261,0.002471592830132622,0.138,,
ACH-000910,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005353701074242558,-0.017046105801515273,0.00021884366157582126,0.032,,
ACH-000911,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005423201633777977,-0.01780420309159853,0.00013480404103638835,0.027,,
ACH-000912,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018432056036265445,-0.011051619073428543,0.0018120748181706193,0.112,,
ACH-000913,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017877049256186217,-0.01003620839720965,0.001524673887018366,0.111,,
ACH-000914,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018130774208997703,-0.010126387019768899,0.002070848437047014,0.122,,
ACH-000915,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005148898096585571,-0.016839360665381616,0.00041486958560409885,0.031,,
ACH-000917,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005244813756486953,-0.01720403700638351,-6.927697195937119e-05,0.023,,
ACH-000919,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001858063449576736,-0.009988625458275358,0.0012488476811566747,0.102,,
ACH-000921,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005322311244648223,-0.016486092724538305,0.00012772225906040923,0.028,,
ACH-000922,1,150,0,150,0.006666666666666667,0.0,0.0037485418157616047,0.002100010383956642,0.0014715708281591326,-0.007483511917003824,0.01163917596190483,0.662,,
